ind_tr,ind_pt,ind_ru,ind_fr,ind_it,ind_es
2911,1001,20099,7207,11417,9092
16816,11223,20600,7874,19968,20609
6111,11736,20198,1386,9588,18936
13159,21091,19151,13432,5927,21574
19027,19578,2933,489,1650,4000
14075,14057,8650,14472,17508,7905
9851,14329,19087,10517,10025,8122
5228,20723,21034,21926,18992,322
18230,13416,10377,17900,19856,8078
3134,20463,21199,16643,2910,9214
10325,14199,8151,4713,17291,10151
19193,4420,4103,8373,18482,5982
9082,14596,8671,3785,3671,2842
1420,6441,2124,14157,17937,2230
2466,20899,5370,16481,14543,14340
16767,21336,11326,12621,17066,16225
6183,5536,4083,2681,9156,9841
3370,10344,20004,7817,19172,20187
2001,1600,16040,14253,2092,16909
15922,2434,20038,2764,22294,17641
9651,4719,19017,7787,2851,10947
9730,18419,18054,9045,2170,20775
19495,15968,1842,14027,14895,5100
13980,18311,15984,4343,8494,4337
18564,4475,4859,15458,22202,1282
15232,7154,18251,4666,4380,544
9338,15520,1998,174,7184,15137
3012,11595,11375,12108,11595,15938
3596,17292,14371,4885,6515,13773
10468,8727,11213,16496,18431,11232
673,2830,14801,3396,15514,17908
12002,14144,13522,18370,6742,5656
13319,16330,10269,1550,5755,9160
16671,20410,18209,11056,2838,5257
21520,6854,9259,1536,17866,522
6780,8795,698,5105,15054,12402
1331,11215,10252,7323,22114,17932
1660,5831,6936,19796,6594,16442
1232,10462,11559,8657,15021,10435
1920,20921,6496,4141,8383,7909
998,12175,17991,9693,8861,10497
13077,7208,22132,22216,5580,18861
1637,9558,3861,3147,14508,20405
16042,18962,11465,18252,14568,972
18444,7842,6299,16598,12491,17671
12817,9461,20746,21903,2099,15751
11809,21807,9510,5214,3149,21244
970,11789,3962,1676,14635,21829
17671,10475,7195,10481,4506,1990
17611,4325,10415,12948,15180,10688
11016,1402,11978,20279,3311,19955
2003,1310,17915,12647,1142,6933
18291,3778,9834,11184,16463,7471
5430,16301,15091,8456,6855,7782
1775,6726,4460,4664,17717,13202
703,17491,10386,2786,16491,4350
7667,6115,19927,15910,6989,21118
2654,2799,8098,4478,12308,3112
20413,18183,3923,17893,6628,14280
14560,17654,6348,4016,12888,10931
13432,9856,13393,25,17815,908
12391,13270,15605,4405,11562,7715
11159,13142,5381,4963,14561,15742
9301,17445,13233,17683,6435,9334
5246,8747,14197,4051,7310,19899
9356,18530,13577,4473,14174,15760
20334,1964,8027,6027,786,14844
3316,15415,202,12239,652,6332
10912,16406,18537,12232,22016,3938
18058,8918,13253,16483,15051,17085
22232,4726,3619,10379,15307,2518
22050,11775,5735,21114,18058,12610
3438,7107,4654,2687,18580,15209
2884,1006,3672,14774,13105,15039
3305,2643,31,11409,16157,8246
14999,7518,2992,12433,21663,2133
19955,11851,13249,19807,17019,3864
18175,4096,15455,13620,18555,3263
8810,16665,183,20460,8936,8616
10899,16776,16124,7960,13116,11788
12109,13065,10838,22228,14549,6637
7282,7828,7052,4052,3629,14239
17156,20849,11550,8691,21068,16415
12441,18757,18763,7734,21917,7156
9650,10876,13122,979,3482,12806
9300,9593,90,9578,6011,6147
18248,15750,19420,1789,1678,20334
18373,10858,12574,21183,10451,2225
12807,9515,369,10714,15668,20087
18004,9648,12316,12434,16485,5798
15021,12016,5074,10102,14039,19751
1361,457,12699,552,10188,11947
14527,4548,11471,21820,10586,4869
8310,10297,20890,16993,6103,18356
1813,21574,21955,12496,21892,21412
19019,230,14325,4149,18085,22370
1980,18819,10265,9725,19766,8646
21903,11602,1425,2611,16556,10057
6150,11323,10510,13999,1757,4023
9146,9430,17962,17547,13334,15616
10996,11652,21054,8297,2996,5721
2581,1539,21287,8189,4809,1177
304,12629,10076,7195,17154,12008
19358,17381,14457,7823,11914,4776
11124,9808,20945,15433,9669,1167
4684,3733,18847,8535,14290,14831
15040,18055,21717,10045,4966,11413
17104,10770,20152,343,2797,236
3764,15501,20145,20395,9091,18404
221,494,2377,19586,12133,19564
10336,2983,7836,6938,7478,20395
22121,3623,14506,11762,19624,6454
21633,12432,11706,9802,419,5542
999,2457,10587,589,5593,15016
8114,21820,13727,12507,15575,4076
10174,15884,9008,15780,16364,3243
1878,990,20593,10293,12691,10248
22099,7362,11613,2813,18664,9476
335,6942,4525,16510,7124,16656
10358,8994,1731,18377,570,15989
2526,13888,21883,511,14047,16906
818,6459,8110,17863,5492,2774
20383,10026,16693,10476,19393,7574
130,9667,1401,5101,20002,2432
7572,22280,2216,13277,3136,16216
16024,9771,4730,9687,6287,3698
10607,6194,21822,10613,2306,12452
4759,17912,18747,22141,19103,1646
19414,8322,13428,19251,4149,42
6805,14445,10779,593,22276,13444
19585,6925,8219,20334,1629,21845
5420,3586,21980,8991,5198,8887
21699,7726,20745,19421,15789,18255
2116,16876,5643,4502,2293,5147
1895,14284,1971,17501,18383,2265
6241,18010,10533,22335,10477,19973
21859,2363,18313,5589,13022,18094
274,20486,1979,472,7800,19721
13580,21443,2742,14952,17318,19360
835,7062,14460,17776,5982,20313
2456,7015,17485,8996,9914,1694
9889,20948,7206,20919,16790,15850
6287,4255,6098,9064,18042,19991
7251,2988,21868,4056,6054,10884
22089,290,1545,13812,15609,5741
16802,3939,21551,15398,15047,19282
12042,10563,4610,19371,16774,18435
20645,8864,3674,14959,1074,10790
14541,18461,5491,10177,11273,11271
3546,6158,12139,6037,2521,3042
9832,3372,21364,10979,6584,677
502,20895,12241,9673,4987,16286
5380,21292,2809,20530,15772,16276
986,13845,10350,1380,19897,7636
4664,364,11348,22258,11217,9497
10271,22247,22188,18618,18516,4826
13657,10284,22010,7770,21332,13639
15711,16084,1369,15175,2626,5930
15663,12373,19106,13755,15305,13327
22126,11027,12596,7516,20730,3699
14523,14181,13777,3366,20012,16943
8156,8242,8075,3373,4784,699
12659,15341,19841,5713,7179,15517
4819,3424,12032,3333,14018,1094
19228,13801,3263,4945,10800,7543
7620,17195,20304,12970,13442,7293
12816,1520,5331,20478,11683,16612
13005,20080,2588,3562,21741,2083
9600,16820,10287,17698,5109,6071
1110,12077,10456,9469,14263,5015
18585,17486,4128,12135,21882,19190
21866,5314,9556,6031,2259,8383
12536,19850,17513,15994,13048,10369
12948,4468,6722,11516,4310,20209
14915,135,4158,19964,14100,13014
4047,19435,15163,17427,11262,205
13536,3110,4769,2184,10618,17974
11519,20807,14962,7451,6590,18293
16458,6274,11225,9634,5932,5579
16791,2862,539,19094,4234,21913
4663,19043,6712,16754,5733,16330
2506,10125,12617,7041,859,20433
20806,18971,2560,3663,19104,7067
20421,3777,17844,21113,822,18713
16454,13125,10037,8599,5006,22353
20255,19922,10678,3666,3735,7451
12306,22375,1934,19454,12503,21368
12897,6566,2335,16861,5399,17944
9235,1206,7605,8833,20022,10469
344,13980,9239,11584,9100,20179
9652,17422,4738,1977,17525,15700
2450,21875,15126,4899,9974,997
14530,12687,15447,13061,13484,21884
9493,7394,4050,13225,9548,20097
6748,14650,10174,20644,5628,5679
15799,8582,13130,5556,1277,999
8878,2854,10806,8943,20793,7205
19014,21514,9824,4626,6239,7660
17921,21961,9343,21075,16487,20983
2583,11675,15810,15535,18534,9604
14018,2429,3243,2514,18375,678
13983,6341,15710,20773,8061,21691
16583,10531,3100,19684,203,18056
13331,12822,21904,17237,15535,4817
2586,17579,7974,5385,5782,4430
3296,21526,9827,649,17976,11740
16312,17782,3772,14597,20917,11434
19503,3203,17191,16544,17075,9767
20156,199,8958,4873,3940,6210
5540,6193,22344,7023,9656,13147
17713,2327,21621,20971,11298,14881
12889,17630,11837,256,1713,3493
18630,8239,20015,21580,21108,17841
19360,12894,12996,7785,16543,6678
11220,14939,21677,21439,3221,3537
18234,10257,4676,15029,20411,7624
489,2577,20232,17855,2388,10356
21317,16922,10951,14305,17171,20501
17703,17332,13534,10018,21669,16760
7645,8160,16262,4433,5326,1835
9134,21748,2065,582,1351,21034
13907,14,17603,10763,2924,8906
6338,1465,1629,14282,14541,659
4986,9556,14767,1189,3862,3791
5148,20227,3653,11402,10028,2172
2925,21380,15196,6251,6361,10085
5448,7979,10726,3434,12058,7858
10951,8144,12303,12077,15550,11867
16602,446,20294,16548,20535,2703
11663,13935,6971,16015,13672,14471
14002,542,19782,20508,5783,14120
15516,575,15836,18753,6874,1580
18459,2803,10501,8622,2833,10264
16372,2967,11544,2757,20259,6884
3096,4088,13661,3574,14266,9739
16700,2506,4186,13716,13827,18967
14678,12642,4122,11796,15102,21115
21121,101,13927,2836,18842,18839
14807,1229,22223,4504,8835,20451
20381,7915,10256,16150,18988,20708
9677,6320,2753,3232,15043,15320
14808,14594,14288,20397,15377,3758
9899,7483,11595,110,13816,11885
5182,6598,2603,3255,2443,4593
18325,15349,11049,12445,1835,8020
1062,3190,6571,19151,7735,8066
301,17553,14956,15312,2858,15653
10486,10945,19543,2468,12432,6417
8147,10423,21130,792,897,16256
8995,8939,1855,3644,9316,9608
20139,9085,17335,17641,18867,22076
19903,17901,5068,16109,17194,16977
18048,13372,16268,10039,8369,1048
20409,10685,20028,11926,14652,19208
10171,21659,7421,20989,3712,6671
20340,6049,2463,12503,19604,18357
7557,11284,11405,19851,4425,8598
1792,16772,7805,9228,10766,5431
13643,95,20027,9233,6932,4410
7546,582,13508,312,20547,6002
2571,8458,16781,1866,10571,10844
6645,18770,16424,14409,5950,12137
17480,7371,12968,7724,10166,13451
19747,16214,11909,7295,14960,13551
22258,19856,13900,14395,22354,17416
16275,13515,20756,20195,7131,343
5002,6756,9387,18350,10449,14723
15849,18338,18086,3050,5098,14545
13862,10793,580,12264,14099,7004
13934,2491,15357,17499,16098,727
276,488,6696,16676,19360,11069
12786,10339,11118,8847,6037,272
3673,15471,9407,7301,21921,9526
19136,13486,8210,8398,13580,11258
21310,14122,6662,17092,17089,8789
21603,4168,12910,14071,842,20482
17570,7530,16711,11110,960,6521
7883,14404,17916,11550,10419,8472
20667,20393,6841,18766,12217,5983
17209,13951,7411,17183,9772,21734
3832,2130,3360,13423,8789,12175
19827,8613,4930,13235,14260,8808
15869,2810,5608,19028,6770,6567
11197,15910,789,13760,19174,18240
16326,14078,7344,7154,3033,4356
21070,10819,16109,21764,12326,181
6783,14617,9956,22276,1953,15619
20534,21850,15410,13309,6132,7996
19318,13376,8442,1656,20184,19322
4155,7231,19279,4232,22198,20326
11747,5082,1805,15640,9562,11437
13401,15507,16553,8936,20103,18266
223,3962,10946,20789,5805,1599
8724,11363,3620,19475,10652,18001
6829,11794,10202,10977,13537,2771
17460,1858,7403,15063,4826,2302
4353,19167,16707,7227,19688,18553
5422,21255,3583,13076,18003,10731
17892,1486,3872,5033,11302,12258
12154,17887,1883,10587,19622,652
13193,13648,13751,4807,4615,16394
9564,20257,12006,17540,13285,11793
7590,4227,11990,8773,18084,4796
4714,11607,12367,21037,11014,9706
16673,17325,18489,8293,16117,514
6462,7237,17204,20234,3934,1326
8424,7850,9395,9933,3005,22320
19003,13113,14214,10520,10703,16009
16108,6639,20674,10715,2566,8898
8693,9118,2187,612,6612,2017
1358,2735,1505,9008,65,19077
17477,18188,18419,10460,9896,11736
19518,3067,18772,1487,28,7855
3054,16393,9262,13963,610,20650
1393,17009,12782,14629,13933,21092
13101,4709,14888,20514,472,21637
12255,11046,11804,12047,7678,11818
3762,14995,9707,14727,21777,13186
2695,15100,18836,1248,1857,12173
2314,17330,3949,12197,16873,11460
86,9245,11661,10144,4523,3269
9544,19896,11434,4892,2813,578
3723,10430,7348,222,19095,4071
6585,8281,18736,18608,5616,5256
1001,3182,15446,21778,19888,4037
14265,13763,18017,2233,14683,21219
9234,20872,12933,9356,2496,19339
9226,2657,19495,15962,17617,12257
17467,19138,14584,11362,10925,490
14065,3981,3466,10010,19983,1952
6694,15773,436,8624,3718,18605
6970,1873,9925,22218,2883,2148
5442,10108,6807,13116,16480,19622
1500,8507,14547,18684,2757,12403
14608,2987,13208,9030,13859,3067
15624,22153,3359,20626,20766,15084
549,6941,12473,19516,17336,10207
10761,18420,7698,11015,5144,9529
10695,1740,12578,17684,17839,5588
12615,17476,18734,13232,6983,5474
794,12472,8459,16870,1044,5843
1297,13241,12976,8866,8757,14475
8613,2041,21612,7697,8898,2450
10414,21064,3470,5554,4140,3681
5473,11569,20379,8623,12088,11610
6968,14243,5880,19280,12430,7417
16993,6821,17160,2574,9379,15816
20437,14910,7079,17044,7654,9287
21715,4425,7925,3513,13855,16804
4382,20968,2534,6491,12627,575
9793,10830,18755,10847,11981,7228
19145,17690,5897,6109,13050,4765
11192,1317,6821,15867,12522,11604
20092,5095,76,2475,7242,21098
1515,1550,3538,5167,21046,20514
16943,16646,18004,7051,7387,14066
18393,8396,10094,2660,14677,16445
15084,16599,8294,11489,9328,11037
552,21641,12762,6619,1854,1301
16609,12558,10179,11615,21900,15072
9045,12045,3624,5885,16737,2239
2035,18308,10177,6096,7936,14303
15399,10623,8057,12003,17557,8970
1177,8998,19701,5425,809,10010
17372,5927,1574,21082,3024,3926
2638,12186,17544,8868,13041,228
11895,18509,7473,19548,17719,16478
14327,1947,14647,443,2147,3755
2307,926,7332,9374,19823,831
4659,4678,18239,1179,5496,4028
16921,17516,7897,15087,3211,21624
8669,20301,3817,3870,13371,5230
14687,13608,18367,4495,2928,12513
14797,16304,11801,12707,20058,10678
8761,597,9026,4154,8969,20990
19953,10579,9495,21234,13610,12163
13948,7268,1735,17153,20843,11926
6079,12434,18500,14850,1163,22388
7055,20454,3395,11989,5792,17588
17141,7448,19964,3508,13230,6453
5122,7711,2495,11149,4236,7731
11865,20477,2699,11412,4575,19434
5230,12264,10632,2886,13179,15129
5840,21326,19207,11708,13752,17941
7894,11443,14039,16874,13472,11465
5292,5246,3537,20776,545,13476
21972,6086,9664,2999,19781,20447
12192,17881,20273,14214,13515,1279
18033,3104,13710,2145,1804,16246
647,11605,18219,17030,3938,14087
10577,13547,16157,3570,4079,3349
20498,2655,10432,21091,20735,1434
5747,10200,12628,20896,2847,6445
15572,6008,9226,19169,21954,113
19769,4374,21819,7912,4931,19054
7495,2264,21401,16434,17614,3194
13658,587,17554,11051,911,9032
1168,9575,6833,13007,9016,21910
6837,559,1706,16728,11477,4482
3740,6238,19948,19998,11631,6420
14304,6791,1277,9608,13152,10623
3482,6417,5121,10700,14801,14315
20240,12539,20204,7419,17262,14469
13576,13251,15793,7304,9119,16176
8221,21029,10975,3363,22018,6824
2448,7119,20502,18363,3105,14607
14514,927,20935,14687,7519,3722
16253,11450,7608,3688,2925,21019
1587,12926,3047,1442,15927,13276
5507,16038,10502,1262,16136,11730
9902,5608,17928,14424,1194,732
7037,10282,19824,8745,9208,19102
14801,20869,13655,20074,12710,20414
22034,15607,6445,15019,1916,19400
6933,1328,16933,12034,20868,17190
12426,2406,14720,1833,513,10185
5131,10483,24,3106,847,5667
7328,8698,15010,7777,16360,19431
6627,17878,6358,1530,21857,902
2443,102,13657,7539,8318,1169
4606,9803,14013,16005,15684,1255
19606,197,10823,9037,7624,4176
10089,1684,3564,12787,3421,10596
21875,14922,4325,18917,18068,7445
19373,7987,9092,12766,144,15562
11536,3517,10283,11271,4788,20091
1411,4577,5443,4188,22132,16547
21375,14198,21457,16864,7522,12716
20758,1435,21933,4113,8110,17596
252,10776,1393,7449,21292,8306
3277,13371,7226,11639,13968,9663
20281,9345,21886,9908,14787,19463
7651,7313,10342,1677,1864,2109
15032,3434,9570,14519,1070,15043
18458,18364,18444,16656,1705,18594
7775,3907,21653,2542,20350,18083
7347,884,20315,9178,7446,15464
20262,21388,13654,22040,1747,7097
11140,20124,9173,17490,6098,6060
20922,8409,12790,8275,5709,13042
3498,1375,16714,1368,4773,18790
15374,14401,14685,1512,20967,5590
10034,17465,3139,14380,4711,4764
21637,11975,2566,9778,3837,14945
5888,6969,8443,10527,21619,3992
7932,13791,6085,12700,12571,18573
2427,12537,19402,2340,9060,5209
17414,18345,3660,15486,3043,3929
2611,20969,13707,19547,9672,14230
22373,7922,13184,10867,15976,2193
3446,185,12504,22155,16601,13054
11267,21102,17729,5172,10428,6773
13476,13877,19168,7197,6642,3984
20147,17586,7874,9815,12594,7304
4399,17367,18184,1649,1388,5719
9088,3752,4480,8316,2563,13915
16663,21755,20895,3351,5548,1757
14118,2259,5215,12247,6671,14909
1508,17214,5307,11049,3542,18831
8103,21994,4662,21954,11028,340
17537,3887,16396,1519,21877,20169
14102,15958,10623,7851,7629,589
22193,17927,5330,5808,2921,5317
1759,17629,19848,10485,11974,10052
197,14275,842,1122,4920,12848
2991,10761,1194,2348,20672,8158
15137,4838,17977,17464,16781,334
4109,18857,12416,2692,8595,5812
12827,18604,15702,8382,8451,17515
19633,11640,14458,21431,21007,10768
8203,20135,2147,13202,8404,3651
14472,21683,5035,3564,10637,16975
5432,10232,8731,13168,12542,5618
2256,4077,2746,22294,19163,12998
570,2977,5114,4977,12632,15519
18523,20884,3753,9145,14857,171
5286,1914,15932,10925,8201,2501
14656,7158,1436,5856,14351,11951
21577,6111,3992,5094,13722,2308
22209,4270,10756,9880,20615,12641
6359,10558,2671,10921,16651,21184
1744,17085,2246,11072,470,4567
1721,1180,5545,16196,7662,13923
13081,18494,17745,11236,8043,17225
3131,16661,19711,665,16159,12234
9565,18017,18831,3307,3830,17920
372,4165,875,8259,6423,4616
20903,9188,8652,13840,16065,9664
730,7843,14336,8523,21124,15669
11486,4737,11166,5886,5975,14296
13022,14415,4710,17474,11863,13647
1342,22374,16311,8266,3932,13088
312,7956,13291,22307,16055,6946
22199,19090,3554,11491,10288,17491
12049,16212,19741,18012,4897,10851
7053,18961,15629,11197,9902,21431
9805,15161,9124,9022,396,7959
20945,4940,11583,16305,3781,6598
18652,7965,3107,13576,17297,17047
10774,2698,3641,11038,16453,17812
7536,13067,3916,6830,15032,11882
3092,10362,11555,12195,9338,7672
21142,16712,14,8939,8320,18077
1424,19980,13022,10255,20722,12551
22085,16412,520,3920,15986,8006
3328,10570,2053,3137,13713,7974
2560,4886,6291,5905,20450,17301
15860,793,19358,10973,14690,20876
11704,18206,8828,7919,18029,18741
14024,6919,11531,1544,1754,3461
15463,12738,16983,13117,19916,2200
15404,8688,13269,10007,8327,21565
5425,7831,3250,9948,18196,20429
8490,1361,12029,17360,681,14393
16445,11783,5396,20558,2465,11738
14016,14108,5287,3049,3015,13663
