ind_tr,ind_pt,ind_ru,ind_fr,ind_it,ind_es
5964,3877,3856,3798,585,14722
5362,8842,17549,15434,17231,11744
1653,240,14615,1330,18174,12524
13311,880,21326,20050,7440,4540
12657,19382,13361,16143,21532,14755
6168,17005,12240,10439,3078,145
10790,15372,2362,21035,7567,15076
5578,17744,19918,4835,18063,20417
4989,1295,11601,4176,3947,20204
5857,6248,14281,3017,11608,7150
1115,13373,14097,14914,8703,16338
20308,19894,17670,20978,6377,5621
4154,7019,17959,2046,12254,11386
6486,12665,15463,15043,21358,18198
21482,17192,3080,19370,5686,9988
8553,20459,9287,4819,8858,7421
10906,18073,3244,68,17567,105
8106,12827,19236,15313,5576,8722
13179,1880,16703,16853,18588,3837
9367,1150,12566,18382,15679,14989
10732,9699,5877,13581,21470,13495
17321,14819,5356,5931,15563,2866
16882,20186,17319,11599,12850,4499
5592,16492,19063,16145,5113,7346
731,2085,12813,21298,12778,20420
1470,4947,12194,11059,11822,12580
11147,13957,17516,10088,820,14442
5386,15621,11023,447,21027,15449
16951,9485,12920,14316,2262,19689
15750,18777,14433,18036,14860,6213
17874,9788,22306,8231,12619,16420
5104,10507,279,6953,10424,12286
15917,12546,2887,691,20595,17098
6607,8577,11094,7672,12209,2405
17923,15259,2725,16493,14752,17078
10292,11430,8064,7390,15943,11378
2616,4599,4750,9553,10770,10424
6431,5351,10340,1675,984,9798
12240,14641,19177,5580,183,9499
21335,7689,20312,21724,20835,1705
14396,11869,8649,8040,20210,19628
21522,6487,15979,12961,6153,9292
10508,3402,8825,15661,3590,20700
21096,5081,13496,9914,2146,4195
16099,18160,19342,2633,18685,6177
4795,13156,5400,20409,1053,7627
19726,4264,17285,21562,10674,6051
5881,14631,18613,6507,2064,17290
15631,21285,12491,4018,22027,20216
10946,20987,4071,18820,13870,19458
7593,14376,7847,15789,13793,3078
8061,1236,15004,944,673,9100
16429,20341,12907,8978,17144,16357
20587,14013,2923,5176,14698,14283
10853,14194,17655,6255,12736,1056
1399,11316,17714,17461,18947,6231
15363,20626,9829,2540,4375,19018
11835,12289,8343,11972,15534,12482
4401,8687,21807,13478,15314,15688
17548,15080,14182,18242,18979,17153
5111,13232,1426,7889,11208,7763
11489,5224,9188,1596,8064,16310
12169,5029,3325,20445,14668,7531
17471,17934,1526,3758,5875,7898
20089,3527,12919,8660,12033,5233
4771,11767,13555,10802,7190,14263
8650,8628,18866,5707,7945,13187
11255,14837,16666,13851,7503,21510
1553,9212,6853,15259,17205,13833
13687,3978,19987,1776,19831,10480
9783,11618,4394,7447,12840,1491
6360,9086,877,5035,9546,19887
3834,20893,17090,10912,15227,3588
18170,1745,3768,8967,8371,1551
2366,12053,19851,2255,21153,2715
22038,14302,2409,11678,6653,13331
8343,22241,7763,22015,6387,21939
6091,11028,9367,7042,17673,1171
1196,9003,4496,18495,1360,20496
3016,627,8937,16588,17058,21955
10307,7339,5850,4159,10134,18560
21822,19277,904,10133,7178,4745
14730,8764,6018,7925,19321,7596
4550,5387,13506,22240,18913,8105
10948,19972,2832,14911,15270,16090
14535,19872,18789,17969,21529,10517
14151,13398,3474,18782,5318,20160
12755,19157,10319,14841,16664,6291
15222,3386,17445,2127,9248,5740
18487,7924,12844,1168,3599,17554
8118,2281,2768,20961,19775,14711
8493,19245,16133,12904,14494,3808
1827,8019,22127,14374,42,18667
19782,384,9425,4090,244,7512
13858,7939,13874,18456,15680,3833
5813,22225,1233,10475,13975,16318
19563,20633,2619,11519,16867,19188
17532,12565,1916,5533,3856,7433
14317,688,21120,896,21107,18722
9735,5205,6461,10172,14407,7486
7096,267,15991,7486,19716,1507
2584,4074,8972,10905,5358,4921
4130,3605,5861,9130,20164,10689
19934,6907,5087,10017,1383,20995
692,18108,19966,14059,56,21380
21153,18659,14936,5588,14990,7350
21840,19612,3200,2465,5214,1015
12448,2790,17861,1373,14156,8914
11755,16756,11264,14812,17048,4494
8704,14104,2071,17662,1025,21020
6243,20514,570,20813,7070,18460
20000,1616,1836,8341,17729,601
9215,1190,7574,16342,21587,8948
11754,2404,9373,16369,16195,20590
1788,4445,9881,9595,21897,2465
21359,5309,5600,897,5764,19854
21313,7438,13485,1303,7380,5198
2386,15090,14127,6093,14491,6987
12308,5575,21651,15952,14753,5694
21030,16468,15252,17505,16889,21374
2801,19750,18656,17462,18349,6717
6263,4794,5956,2478,16859,12816
13468,11110,21177,16358,12719,15255
2536,9729,7619,16869,21591,6846
11658,2349,12754,10922,11370,10238
18527,1211,14799,7857,4408,4115
20065,11299,16919,4749,14272,19507
14896,21741,4645,21684,10725,11507
4372,5432,18002,14695,16031,11643
1086,1223,17755,9960,8870,5516
5986,802,2834,11464,18757,11361
6250,8735,3062,4782,7798,6720
11383,2419,18223,3438,11785,11702
12705,14947,15656,3674,347,7314
1655,4694,11346,863,19828,7932
21218,18585,18529,12675,13742,18287
19406,1491,19227,20377,12874,1490
19569,12223,18189,2236,1456,21383
16605,11580,1074,254,13244,11449
15890,16483,11794,2588,10024,17566
1230,21716,19273,11125,6886,5026
20684,17362,7600,16810,19439,2428
8784,9580,21999,20915,2568,22155
4049,4112,5532,197,14943,5924
4905,14185,10517,20824,20044,19958
6843,11176,17867,1443,16132,1260
16186,1340,12212,9035,18411,19134
16272,11699,4116,19068,18137,18146
1180,10495,6785,3154,12167,17396
21612,3714,18373,16793,3407,8575
20127,11011,4489,5595,17683,11494
1914,18046,10970,13696,3049,4431
3751,8055,2730,8095,5597,2700
1608,1847,4703,13152,6926,17867
11863,2417,2190,1175,21841,5040
8287,2878,10186,6622,18929,6491
11113,11494,1449,18662,14393,2529
16607,1601,1765,875,13908,1364
16266,12448,11202,4084,17901,7542
5471,367,20438,22056,20682,11673
12054,3130,140,448,15564,7688
5372,22178,11378,3300,5490,669
20438,7114,12351,2520,8883,15253
5262,18056,19363,16769,13502,7711
17009,19744,3158,13055,14837,16581
17347,2396,13515,4797,19293,1941
11213,16496,6935,2093,9110,6978
3606,18663,13153,8526,18892,13832
19514,11014,20623,8551,12022,2908
13083,8096,8464,2688,6927,6833
18751,20584,11064,11162,12414,2608
15672,2736,9584,10184,5813,15769
8425,5060,21875,17422,7895,6128
16765,18854,5981,11644,15484,4953
15742,20904,17060,9785,11024,14589
1267,8056,16947,6430,20864,3421
21102,17132,21692,7174,11,16469
13867,6305,2776,6838,20624,3155
4877,19376,15467,12655,14649,18098
4688,16924,16352,277,14978,14591
1231,17525,15550,10896,4596,19943
8786,1337,6625,8753,6310,4536
19266,21434,12145,3177,20199,15306
6529,15689,10047,22096,11567,6970
6427,12028,14192,21349,14458,18879
5467,7647,5819,5143,10173,17825
12357,19754,550,12869,9655,7478
53,10867,8531,16031,3645,11547
10841,21503,21071,8429,14120,18533
10065,9084,5772,10900,11606,12157
3714,20799,8805,17720,10107,2978
12939,19925,1175,12288,16023,9825
4929,17533,18396,13157,7718,2464
8831,10248,16770,9074,3212,6676
21312,7185,18132,2388,18885,2196
6170,16322,20349,9961,12813,5802
8099,3253,5592,719,13645,3443
8545,8446,7720,4732,18071,3961
3796,5610,3644,2610,4896,2640
14267,18879,7463,16142,21785,17152
20387,3421,20536,14626,12470,13490
7921,18295,12779,12091,9255,6146
1712,17823,3512,19241,2400,9833
14140,1885,7304,10023,7969,22140
14216,11805,9492,14360,1533,17023
21713,3170,2410,6011,10888,11989
15825,10606,10977,3554,635,9828
5985,11218,5337,20598,4212,13682
3905,12384,19868,992,6163,10414
22062,12056,10679,9466,16508,21937
21040,7808,19870,12057,5740,4392
2477,11278,3971,17088,13001,18140
12411,4549,8131,12712,1295,18894
17451,22371,9755,2071,21719,19623
16338,14027,11208,17054,22341,3256
443,18086,17583,18975,15883,3599
17670,12359,6209,16210,7802,20262
21206,54,13143,9905,14552,21682
6738,1958,11813,4775,8848,7998
15065,5283,4908,4709,12847,16377
19258,14138,8724,9951,4571,7795
10582,13099,14869,16245,5300,9525
12677,18248,14735,14036,3077,21575
11541,9680,6810,19247,8661,14950
22026,6251,15593,4216,16097,6823
10566,17741,3550,1974,18247,5657
8254,4962,19876,16027,15816,15709
17342,695,3664,15695,16856,9835
16482,18863,13865,18338,3551,19390
7884,1268,10769,18791,4286,16030
7238,2755,2807,16871,17203,14058
20820,12071,12972,11736,141,11892
2677,6553,20285,2695,16646,1288
16383,3483,13138,15721,2819,5606
20394,8101,2444,16438,15835,13123
17631,11127,2486,20652,607,12529
18967,14716,3217,6805,13424,11244
12842,7737,11755,10390,21522,17902
19161,19387,16562,6565,16412,4590
21217,3071,8055,11342,9142,856
9876,2905,3367,16995,5716,7277
9906,6279,19865,5816,12725,18068
7438,22272,20969,18702,8302,4690
9273,2673,4249,15205,15799,442
5534,291,728,20867,19215,3815
2979,9161,17402,21370,11623,19087
22300,9375,20306,3086,6265,1788
21683,20420,12245,6606,17381,3174
3618,9090,19398,18211,14318,21549
5209,20018,10563,13857,15787,11407
21819,14886,10444,12329,4105,881
20801,8443,18016,16222,9757,10401
18098,7533,10816,16757,4146,20376
15249,13239,3534,18506,19371,13896
3571,9184,16604,14714,4877,18364
12207,8022,5429,15482,10187,1013
7267,5883,6030,10483,19850,2766
3799,8475,21424,13334,19182,16964
870,18313,6080,13522,19365,5188
12749,2751,2333,4707,718,6407
18128,1580,6264,8362,15232,3710
18286,10859,21479,6886,14005,14017
5897,8190,8187,14022,9618,1239
6419,21067,17843,19526,17340,6511
4993,4266,15585,2700,21307,19382
2573,4205,14868,17124,656,7678
3962,9394,21057,16682,17127,4907
16725,11434,15937,9090,15103,18818
12958,17520,12041,4658,8900,1829
20703,19173,2914,17614,389,14397
11537,12638,20678,21944,15148,12396
18321,21229,18577,2684,8639,3911
2764,21550,4234,5394,4685,7395
4390,20205,4649,17383,20892,7146
435,18587,10777,16997,12746,1378
18953,2504,1253,5075,20029,8699
5334,8078,8810,15669,17783,3514
16822,2038,7536,18899,18692,21736
15530,2908,13497,16221,2229,3463
14437,10129,11098,19540,9571,13850
13717,22182,10483,10669,2678,16085
2567,19524,1677,13206,3531,14490
12211,6630,8746,3340,1797,17583
10914,757,21266,6877,6212,298
2839,12521,13114,21928,8577,19818
11838,9537,17812,15185,19642,22375
15473,19673,21484,13492,20600,1401
3819,13733,9134,4020,14630,3743
7672,21513,20512,2852,13345,17545
21980,5576,971,15366,7592,2430
9469,13287,8943,5645,13700,1642
3063,3706,12028,20774,8461,9495
16268,15298,2360,2982,6066,5736
8375,2348,20023,21109,15256,18919
13465,19876,3525,18059,1891,4599
12643,16973,2784,15759,8671,11509
3126,12404,14905,9062,11964,16435
20319,3206,3114,20414,13346,13599
5435,8822,20492,9149,15544,20713
17363,6234,4585,9723,8316,22165
6756,16791,3630,18173,5481,17281
7355,805,249,7854,21998,15523
1862,12559,8158,4795,5396,3920
5247,4284,16135,13839,11341,5149
12818,5489,9766,6823,18971,20357
939,14350,18182,19436,6302,11865
1467,5070,5614,6815,3,13029
17409,5140,16401,5777,1403,4584
21869,8933,14234,21331,4747,17837
6880,1061,12331,16750,6725,18139
8798,3712,15615,5666,21888,13862
9220,19240,8906,1880,12240,10656
16424,17474,10858,20866,14029,11116
19636,21644,14394,3377,19250,7253
1489,4544,18232,1984,8250,15065
14316,5093,10441,6065,8825,20018
7206,19206,7485,17706,11055,11036
14346,3652,7253,16612,12668,2690
7981,825,21248,21261,16172,13883
3971,16079,9685,2716,15151,3906
6464,18561,130,20955,11738,18080
12648,6506,21261,1153,18684,20918
10137,20356,20149,9551,17818,18104
4068,19595,15642,20368,11250,17885
2051,17557,6044,2789,2212,15973
3154,21529,21518,4799,15479,19650
15686,9054,4639,19469,13748,20279
18354,19322,10296,2199,13842,5757
7807,17385,1868,10890,12395,18684
12225,62,3483,1022,18144,17942
2686,11429,1599,17166,11456,5365
17210,1092,22224,18305,9961,3033
12427,9168,15755,17172,621,1096
4498,20084,8560,3907,5051,4477
11114,6281,18562,16891,8935,17587
5488,9060,9108,6154,17748,7849
13625,5859,8282,4847,10161,8594
3737,9185,17785,399,4537,10665
866,21213,19519,8065,8168,13475
13249,4982,6016,16852,15827,3376
18251,16140,16846,11838,12143,2623
13063,5193,12389,1646,18114,13732
3549,8044,20918,1013,15167,3809
19057,21829,18142,5979,15374,20869
11418,7199,12627,8081,17587,3497
12053,1272,10199,9681,9778,18568
5036,3264,20850,9752,7082,15828
11566,13941,14772,10972,12533,3987
18245,3262,14938,4607,16320,18436
3923,22327,16460,4196,9900,17457
9442,429,10870,16198,8059,2435
6523,2100,10110,9530,4061,4942
4236,15951,4138,13167,22006,15632
9364,15164,15249,14256,6018,17401
14705,4341,16574,1674,20502,17156
14663,5117,9212,13934,16145,8439
18733,10941,6099,19120,21424,3083
1664,1714,14345,3265,14312,5695
1704,4424,15712,20602,18859,1839
19521,7033,7028,6854,3573,11559
17941,16246,2924,6272,6522,6283
17357,6928,6867,14847,3754,15007
11621,4106,9504,17334,19759,11685
13539,11088,11215,4454,198,19609
2452,5560,5785,7046,5047,12479
10341,20167,20253,11210,4780,1632
18749,19640,17076,7996,3029,13623
19960,2534,10026,8243,12359,19438
2489,9199,21889,4257,12460,3568
18136,5477,6254,2031,16448,21686
22132,15260,9699,17267,6026,10244
13297,13711,7602,3245,3257,20000
2815,3675,13093,4889,17613,4198
2673,15481,14002,10803,7027,774
10587,21672,974,19167,11693,6514
1486,8417,19491,6681,6783,21294
414,12334,11455,14908,16694,14267
6257,8228,18406,16387,14700,16320
12034,22003,20511,6338,7476,6070
13416,19057,3255,14100,13273,13536
11660,20381,11075,4465,18779,10647
1607,2072,14796,13886,5086,1037
16922,13513,20530,391,7517,19033
18646,13186,1932,3807,12593,1421
7230,11745,7388,14947,9251,387
16397,16276,15428,10889,21291,8477
17750,283,6208,5693,16743,17354
18329,16552,15893,19588,7599,9689
4180,22281,11322,15160,11480,20491
19740,6174,7965,4364,20124,14936
14281,14229,20731,19091,11227,8589
8586,6005,19175,7935,8475,18862
7858,16619,21815,4317,21150,19894
19420,19344,18220,22086,2731,4751
9455,8138,19645,390,18222,16824
7221,1430,9884,3452,11962,21464
17700,15022,16207,12344,21706,21786
9743,13379,16472,16614,17502,4505
6061,1100,11825,5913,20765,17244
1519,10533,10113,1067,4653,18110
12670,2232,7366,3568,7196,6583
20385,21301,13284,21641,13422,14868
9140,6573,6972,6511,14003,9654
5029,19132,12979,2101,9190,18847
14275,11995,20595,4771,8744,13261
15987,1209,18382,21090,5723,8317
4725,4032,12727,9322,8290,12631
9686,1254,10753,6119,9607,16164
16552,14299,14968,17998,19625,3445
8752,17122,14749,8951,20789,21722
11447,7882,17695,12027,13396,3191
16687,11910,782,13583,1502,14707
16998,3162,12934,12154,4151,12103
16567,22001,8440,2287,15913,8912
19499,20751,17558,10031,10675,8727
6634,2671,4572,6464,15416,5346
14519,13280,10038,12689,8839,6432
8692,8732,20577,10770,3021,12654
17991,2552,16795,2504,15652,3801
8635,6000,6302,4742,7604,18313
21694,14996,8824,22150,16180,16865
22116,17716,16159,17034,2055,9574
1981,11175,6538,17740,4799,15131
10746,21153,2417,15725,1258,4186
14476,17482,6385,4552,5986,18585
20686,142,11777,19268,20858,21598
13289,1636,14812,19452,15398,14931
6736,12514,5584,12604,18735,21896
14935,7412,7074,13045,5258,964
19092,22083,16616,2228,7277,19306
6384,10247,17200,9776,16091,7037
1809,1517,4022,21732,6457,9832
16587,12236,7258,13607,5711,21269
12056,13851,13757,7576,9939,10332
12234,17834,1905,20676,4498,4405
9884,6765,15674,5154,21409,1775
6330,7100,5129,20008,5128,5923
8291,20425,16212,17920,19041,10774
2714,1177,18589,223,10251,7281
18166,21521,897,19093,18763,12858
3384,5877,17522,10519,4804,5127
13509,20004,11984,13534,9556,17550
11064,7146,7540,15782,1849,2523
19466,659,18654,689,16419,3062
8439,10611,19197,22326,4656,17163
14247,3653,20237,5541,7326,2346
13053,19256,11587,20629,4962,6156
11362,19738,19907,11549,7044,8888
9282,16343,5197,14778,6362,10705
17295,11056,18527,16282,19757,9247
5464,1393,6040,6265,3354,5088
438,18965,21749,1051,4994,13538
7788,17137,16349,9546,10646,11295
21364,18135,9909,3821,7733,12444
9064,17555,22029,21296,10694,11312
2273,19697,22173,8749,1718,10676
7925,20737,16062,11800,9367,4411
16666,4891,17270,17629,14486,2821
9112,2164,18488,17121,15556,2913
6371,21700,10189,4489,3353,1959
21756,12371,2446,20154,182,10781
8392,7115,6513,4126,3510,15276
9224,15980,7703,8119,8987,8272
15559,1321,13251,22176,6832,9040
2079,21176,21471,14401,22010,9130
10361,3799,8495,12617,13017,8268
6210,15767,10885,973,3393,446
8479,3466,17548,4556,6488,8764
17037,20400,11227,10126,913,7375
18927,17217,12312,3876,10774,14426
11384,1330,6192,11121,21087,10820
10848,4283,6265,508,5346,13191
21681,8080,13041,11884,252,10209
3151,14810,3892,15209,501,2961
21642,2868,18368,8327,14464,20991
1002,18805,20971,5629,21505,15981
12874,2865,18851,8358,13034,7054
18084,1445,7219,13644,1298,18705
16034,1221,12092,2849,20266,12222
14447,16572,1830,2666,14187,11106
11538,18947,16118,21585,14676,11869
12550,17995,12812,1673,21865,12321
11464,13291,2476,11598,15292,21213
8433,8887,18006,15702,6763,17849
15574,20241,4043,12761,1303,7854
12273,3838,438,15051,14750,8992
2279,36,16319,3353,13457,13184
7939,12813,7275,17143,17797,1424
8680,19305,3520,15077,8045,762
21159,7779,21691,3238,7935,13990
16370,2561,9455,16032,21985,1549
657,16912,12410,15785,12252,8929
8687,10034,8608,4622,16872,744
11388,1633,1948,1962,10844,10545
14289,9511,10096,11219,4779,17274
22153,17558,13341,10026,4612,2223
6962,16603,13045,20174,16140,8177
18431,13193,2860,12771,18481,14736
1628,12796,9403,964,5387,8027
14218,1303,13954,17110,14998,12385
3119,19528,18069,14047,1183,10512
7992,14233,3002,3705,15203,6226
17280,7408,19985,3380,16390,14704
12079,21998,10535,8637,13520,13655
18708,10650,7180,18005,1801,8076
5645,21333,2918,22303,5531,6562
7789,4955,11863,3345,6570,17395
21817,16201,11252,14643,18635,16950
7278,16881,10651,14770,6380,7008
4261,8780,16990,5457,8094,20506
537,7506,16724,12880,17545,11039
8741,18538,14651,1355,11165,5704
5923,14292,13925,21769,7625,1201
17291,18071,10503,839,17460,5304
16330,17245,11643,2772,8017,17137
2291,11873,6406,10918,19899,244
13317,14423,13749,21250,16495,10461
13314,1290,12132,15418,7596,4365
12318,5482,600,3295,2063,5759
4858,16142,5063,336,11777,3624
1621,10699,11345,12338,3028,1367
19948,12337,16325,16798,1106,702
12068,22013,18801,9449,20082,6585
14376,8060,10914,11405,6285,19993
8802,18548,2341,19859,19630,17381
2703,81,19114,9144,299,19728
18636,17570,8340,16956,5819,4908
8684,22314,12793,21832,4727,6465
4920,14394,10418,2944,14369,5299
18668,7110,6514,1817,20799,743
4774,22279,17540,21277,16081,12344
6227,19756,20467,13657,8356,10029
6903,16824,2767,16785,17969,11184
5827,14683,4733,10849,13470,6507
20839,8422,13085,22299,16363,5866
3552,13523,2082,14158,4927,12717
3788,13632,13526,4513,19257,1399
7095,16384,4370,5608,18340,497
17492,911,18958,6739,8100,3374
9244,15571,18026,5003,19813,14099
4578,20721,20361,20909,15056,21936
13093,18577,16299,13975,16030,21818
19262,15142,9404,3375,4661,18397
1145,14201,10774,2791,13231,5475
20119,5872,9137,17119,12066,5963
11120,6092,20431,1126,11727,14890
791,1022,14792,5793,10696,14075
2327,1014,4328,8324,136,9092
4476,4672,15855,7333,3806,20609
12334,6159,21478,19754,5223,18936
18216,21297,6324,22342,17062,21574
21590,16666,7389,58,11413,4000
2784,21870,7363,6162,21459,7905
10697,583,14788,16343,1186,8122
21111,16602,17185,14116,8216,322
9853,16678,8923,2160,3642,8078
18203,6983,11792,16944,4186,9214
14237,13680,7737,11052,21833,10151
15434,6375,4691,2053,17226,5982
19036,11936,3164,15082,21280,2842
6761,21867,9642,4505,3397,2230
12044,14668,9384,2993,11281,14340
21608,10306,2162,18857,4591,16225
17669,2499,572,11844,2999,9841
1160,9366,19608,1499,14072,20187
19435,6709,7645,3473,2012,16909
14048,13539,16678,9101,12720,17641
2411,4164,20983,18285,7494,10947
6343,21939,16904,9750,5535,20775
6835,9889,18687,3417,6957,5100
6723,11324,23,3729,2014,4337
16944,3678,13227,8281,20642,1282
2911,1001,20099,7207,11417,544
16816,11223,20600,7874,19968,15137
6111,11736,20198,1386,9588,15938
13159,21091,19151,13432,5927,13773
19027,19578,2933,489,1650,11232
14075,14057,8650,14472,17508,17908
9851,14329,19087,10517,10025,5656
5228,20723,21034,21926,18992,9160
18230,13416,10377,17900,19856,5257
3134,20463,21199,16643,2910,522
10325,14199,8151,4713,17291,12402
19193,4420,4103,8373,18482,17932
9082,14596,8671,3785,3671,16442
1420,6441,2124,14157,17937,10435
2466,20899,5370,16481,14543,7909
16767,21336,11326,12621,17066,10497
6183,5536,4083,2681,9156,18861
3370,10344,20004,7817,19172,20405
2001,1600,16040,14253,2092,972
15922,2434,20038,2764,22294,17671
9651,4719,19017,7787,2851,15751
9730,18419,18054,9045,2170,21244
19495,15968,1842,14027,14895,21829
13980,18311,15984,4343,8494,1990
18564,4475,4859,15458,22202,10688
15232,7154,18251,4666,4380,19955
9338,15520,1998,174,7184,6933
3012,11595,11375,12108,11595,7471
3596,17292,14371,4885,6515,7782
10468,8727,11213,16496,18431,13202
673,2830,14801,3396,15514,4350
12002,14144,13522,18370,6742,21118
13319,16330,10269,1550,5755,3112
16671,20410,18209,11056,2838,14280
21520,6854,9259,1536,17866,10931
6780,8795,698,5105,15054,908
1331,11215,10252,7323,22114,7715
1660,5831,6936,19796,6594,15742
1232,10462,11559,8657,15021,9334
1920,20921,6496,4141,8383,19899
998,12175,17991,9693,8861,15760
13077,7208,22132,22216,5580,14844
1637,9558,3861,3147,14508,6332
16042,18962,11465,18252,14568,3938
18444,7842,6299,16598,12491,17085
12817,9461,20746,21903,2099,2518
11809,21807,9510,5214,3149,12610
970,11789,3962,1676,14635,15209
17671,10475,7195,10481,4506,15039
17611,4325,10415,12948,15180,8246
11016,1402,11978,20279,3311,2133
2003,1310,17915,12647,1142,3864
18291,3778,9834,11184,16463,3263
5430,16301,15091,8456,6855,8616
1775,6726,4460,4664,17717,11788
703,17491,10386,2786,16491,6637
7667,6115,19927,15910,6989,14239
2654,2799,8098,4478,12308,16415
20413,18183,3923,17893,6628,7156
14560,17654,6348,4016,12888,12806
13432,9856,13393,25,17815,6147
12391,13270,15605,4405,11562,20334
11159,13142,5381,4963,14561,2225
9301,17445,13233,17683,6435,20087
5246,8747,14197,4051,7310,5798
9356,18530,13577,4473,14174,19751
20334,1964,8027,6027,786,11947
3316,15415,202,12239,652,4869
10912,16406,18537,12232,22016,18356
18058,8918,13253,16483,15051,21412
22232,4726,3619,10379,15307,22370
22050,11775,5735,21114,18058,8646
3438,7107,4654,2687,18580,10057
2884,1006,3672,14774,13105,4023
3305,2643,31,11409,16157,15616
14999,7518,2992,12433,21663,5721
19955,11851,13249,19807,17019,1177
18175,4096,15455,13620,18555,12008
8810,16665,183,20460,8936,4776
10899,16776,16124,7960,13116,1167
12109,13065,10838,22228,14549,14831
7282,7828,7052,4052,3629,11413
17156,20849,11550,8691,21068,236
12441,18757,18763,7734,21917,18404
9650,10876,13122,979,3482,19564
9300,9593,90,9578,6011,20395
18248,15750,19420,1789,1678,6454
18373,10858,12574,21183,10451,5542
12807,9515,369,10714,15668,15016
18004,9648,12316,12434,16485,4076
15021,12016,5074,10102,14039,3243
1361,457,12699,552,10188,10248
14527,4548,11471,21820,10586,9476
8310,10297,20890,16993,6103,16656
1813,21574,21955,12496,21892,15989
19019,230,14325,4149,18085,16906
1980,18819,10265,9725,19766,2774
21903,11602,1425,2611,16556,7574
6150,11323,10510,13999,1757,2432
9146,9430,17962,17547,13334,16216
10996,11652,21054,8297,2996,3698
2581,1539,21287,8189,4809,12452
304,12629,10076,7195,17154,1646
19358,17381,14457,7823,11914,42
11124,9808,20945,15433,9669,13444
4684,3733,18847,8535,14290,21845
15040,18055,21717,10045,4966,8887
17104,10770,20152,343,2797,18255
3764,15501,20145,20395,9091,5147
221,494,2377,19586,12133,2265
10336,2983,7836,6938,7478,19973
22121,3623,14506,11762,19624,18094
21633,12432,11706,9802,419,19721
999,2457,10587,589,5593,19360
